id,code,name,description,street_address,city,state_code,postal_code,total_unit_count,year_built,website_url,primary_image_url,created_at,updated_at,longitude,latitude
4446f2bc-a493-49e7-a675-70a6c8e7f527,WO,Whispering Oaks Apartments,"Whispering Oaks In San Marcos Is A Wonderful Community filled with lots of friendly people just like you! We're just minutes from CSUSM, Palomar College, Fitness Clubs, Fine Dining, Public Transportation, and lots of shopping! All of our spacious units are corner residences with a private patio/balcony and garage. You'll have a place for everything with the generous cabinet space and extra storage provided in each apartment home. Our beautifully upgraded units include granite in kitchen and bathrooms, new cabinets, carpet, vinyl and so much more! We also offer Full-size Stackable washer/dryer in all of our 3BD/2BA apartment homes! Easy access to 78 and 15 Freeways. ",468 N Twin Oaks Valley Rd.,San Marcos,CA,92069,92,1986,https://www.rentwhisperingoaks.com,/images/properties/whispering_oaks_hp.jpg,2022-08-27 21:08:18.876+00,2025-12-06 20:08:38.876763+00,33.14600000,-117.16400000
548cd5c1-7fbb-487e-8d14-926bfd3cc83a,OB,Ocean Breeze Apartments,"Welcome home to Ocean Breeze Apartment Homes. Our community is nestled in the heart of San Diego. Ocean Breeze is located within minutes of I-5 making commuting a breeze and only minutes from shopping and dining.  Our one, two, and three bedroom homes feature a gourmet kitchen with breakfast bar, spacious walk-in closets, and private patios or balconies. Lounge by the pool or relax in our soothing spa, or work up a sweat in our fitness center. Tour our photo gallery or call us to schedule a tour today.  ",561 W. San Ysidro Blvd.,San Diego,CA,92173,223,1987,https://www.rentoceanbreeze.com,/images/properties/ocean_breeze_hp.jpg,2022-08-27 20:55:02.517+00,2025-12-06 20:08:38.876763+00,32.55720000,-117.05700000
69233516-ae3c-4946-ae19-07813b8fe0b8,RS,Residences Apartments,"We invite you to discover a world of timeless sophistication and luxury at The Residences at FortyTwo25. Our community is ideal for those searching for a studio, one, two, or three-bedroom apartment on 44th St and McDowell Rd. Located in the heart of Phoenix, with Tempe and Scottsdale only six short miles away, you'll experience the best apartment living in East Phoenix when you rent an apartment at FortyTwo25.",4225 E. McDowell Rd.,Phoenix,AZ,85008,357,2009,https://www.residencesat4225.com,/images/properties/residences_hp.jpg,2022-08-27 21:12:33.797+00,2025-12-06 20:08:38.876763+00,33.46530000,-111.99000000
7db932f8-85e7-4bd0-9599-9a05f411b3ca,CV,City View Apartments,"The sky is the limit at City View. Our homes are at the top of a private hill overlooking downtown San Diego. Our pet-friendly apartments are just minutes from exciting nightlife, the beaches and your favorite hiking trails.  Our roof-top sundeck offers views of the city skyline and magical sunsets. We have 122 efficient one and two-bedroom floor plans. For your convenience, we provide elevators, free gated underground parking, plus key fob access control. For your enjoyment we offer several outdoor and indoor gathering areas with interactive games.",840 17th Street,San Diego,CA,92101,122,1990,https://www.rentcityview.com,/images/properties/city_view_hp.jpg,2022-08-27 20:45:10.431+00,2025-12-06 20:08:38.876763+00,32.71420000,-117.14900000
bb8e217c-a626-4b0c-8a72-fdb9083a7a22,SB,Stonebridge Apartments,"Our community greets you with an excellent combination of elegance, comfort, and convenience. Proving this are the impressive features available on our shared spaces, including two sparkling outdoor pools, a poolside cabana, and a clubhouse with a large screen TV and kitchen. Also part of the package are a business center and a fitness center open 24/7, as well as beautiful courtyards and outdoor BBQ areas. Your daily routine is made easier by excellent services including emergency maintenance, WiFi in all common areas, package lockers, a DVD library, and more.",575 W. Pecos Rd.,Chandler,AZ,85225,392,2002,https://www.stonebridgeranchapartments.com,/images/properties/stonebridge_hp.jpg,2022-08-27 21:20:38.359+00,2025-12-06 20:08:38.876763+00,33.29050000,-111.84800000
